timestamp,heapMemoryUsed,nonHeapMemoryUsed,recordsProcessed,throughput
1746686745633,20971520,14423960,0,0.00
1746686746642,30030272,27121776,0,0.00
1746686747643,47148016,42422000,0,0.00
1746686748641,67034736,61440632,0,0.00
1746686749641,49022976,74812128,0,0.00
1746686750638,458601472,76090456,0,0.00
1746686751634,698345984,79735024,18618,18692.77
1746686752663,531103744,81215024,27806,27022.35
1746686753636,634589696,82217008,49794,51175.75
1746686754638,1566773760,82556088,50886,50784.43
1746686755635,1034097152,82096288,60319,60500.50
1746686756635,594219520,82298840,63073,63073.00
1746686757638,1705710080,82459392,60212,60031.90
1746686758638,1260065280,82538232,64556,64556.00
1746686759640,831721984,82371872,65139,65008.98
1746686760641,1931678208,82398248,60664,60603.40
1746686761643,1525879296,81837248,64262,64133.73
1746686762641,951783936,81861824,56786,56899.80
1746686763639,2044400128,81887360,58994,59112.22
1746686764641,1600328192,81912312,63822,63694.61
1746686765642,1040912896,81946080,55057,55002.00
1746686766642,557519360,82049352,62253,62253.00
1746686767642,1756041728,82052296,65478,65478.00
1746686768644,1378554368,82054856,67422,67287.43
1746686769642,931336704,82177312,63402,63529.06
1746686770642,2085818880,82177312,61654,61654.00
1746686771644,1708331520,82198368,67758,67622.75
1746686772641,1284182528,82198368,62729,62917.75
1746686773640,882053632,82209504,66245,66311.31
1746686774640,2041778688,82225824,63937,63937.00
1746686775643,1557883904,82237376,61875,61689.93
1746686776640,1121464320,82242096,61468,61652.96
1746686777641,706862592,82247088,65691,65625.37
1746686778642,1887559168,82247856,66982,66915.08
1746686779636,1489172992,82324272,66489,66890.34
1746686780634,1080375296,82324272,64425,64554.11
1746686781646,620612096,82370352,61983,61248.02
1746686782645,1821231616,82411440,67626,67693.69
1746686783633,1470223360,82418864,64965,65754.05
1746686784639,1175182848,82429824,69613,69197.81
1746686785644,790194176,82441320,61950,61641.79
1746686786642,2080991232,82443112,73657,73804.61
1746686787641,1704620032,82458728,61142,61203.20
1746686788640,1435153408,82458728,73845,73918.92
1746686789640,1139484160,83715368,68215,68215.00
1746686790640,788748288,83144104,68245,68245.00
1746686791640,2081642496,83145456,72572,72572.00
1746686792640,1742967296,83145456,67001,67001.00
1746686793637,1429969920,83150680,68278,68483.45
1746686794636,1100192768,82575320,65240,65305.31
1746686795635,705947136,82575320,65472,65537.54
1746686796632,1935926784,82576088,66956,67157.47
1746686797634,1533797888,82591952,65201,65070.86
1746686798645,1064572928,82596432,59387,58740.85
1746686799640,651450880,82640048,63506,63825.13
1746686800636,1784961536,82640048,62077,62326.31
1746686801632,1428982784,82643632,66485,66752.01
1746686802638,1057291776,82643632,64984,64596.42
1746686803633,674586624,82664240,62890,63206.03
1746686804642,1923440640,82670640,69648,69026.76
1746686805635,1577435648,82670640,67137,67610.27
1746686806646,1258944000,82670640,66892,66164.19
1746686807640,931854848,82671792,67416,67822.94
1746686808642,649289216,82677984,71799,71655.69
1746686809643,1882414592,82699192,68014,67946.05
1746686810643,1553186816,82700728,67918,67918.00
1746686811644,1292114432,82700728,72323,72250.75
1746686812633,1017406464,82700728,67343,68092.01
1746686813636,780451328,82719512,75056,74831.51
1746686814646,2089074176,82727576,72720,72000.00
1746686815647,1785010176,82731288,69621,69551.45
1746686816645,1505589760,82769176,70224,70364.73
1746686817643,1274397696,82769176,70301,70441.88
1746686818642,999173632,82773400,73451,73524.52
1746686819639,693010432,82817392,69095,69302.91
1746686820644,1970176000,82821744,70453,70102.49
1746686821643,1668205056,82821744,68813,68881.88
1746686822643,1470567424,82821744,71996,71996.00
1746686823642,1179606528,82821744,69202,69271.27
1746686824643,851947520,82821744,67087,67019.98
1746686825642,2078781440,82821744,66877,66943.94
