timestamp,heapMemoryUsed,nonHeapMemoryUsed,recordsProcessed,throughput
1746702827205,19922944,14401536,0,0.00
1746702828205,120714144,27542800,0,0.00
1746702829208,83554416,44395648,0,0.00
1746702830210,37894608,57594688,0,0.00
1746702831216,113392080,80226648,0,0.00
1746702832204,79821056,93868648,0,0.00
1746702833217,603918328,98109320,0,0.00
1746702834210,795869176,102950624,39261,39537.76
1746702835217,721420280,104488592,24191,24022.84
1746702836205,1367320704,104768832,64980,65769.23
1746702837208,949485560,104512024,63895,63703.89
1746702838213,589823992,104706064,65900,65572.14
1746702839218,1793589240,103669136,66622,66290.55
1746702840211,1466433528,103703816,70760,71258.81
1746702841204,1042808824,103833160,64280,64733.13
1746702842208,630194168,104129288,62554,62304.78
1746702843212,1741684728,104197464,65262,65001.99
1746702844210,1189085176,104202936,58853,58970.94
1746702845214,785383416,104235784,65026,64766.93
1746702846205,2032140280,104244832,72708,73368.31
1746702847210,1706033144,104280232,64668,64346.27
1746702848215,1360527352,104285480,70821,70468.66
1746702849215,829947896,104337024,60018,60018.00
1746702850204,1703411704,104368984,49509,50059.66
1746702851216,1021837304,104369752,49190,48606.72
1746702852205,2079850488,106274952,63293,63996.97
1746702853220,1290782256,105177096,41703,41086.70
