timestamp,heapMemoryUsed,nonHeapMemoryUsed,recordsProcessed,throughput
1746686665762,20971520,14465856,0,0.00
1746686666766,26665104,26690368,0,0.00
1746686667774,41600032,40626864,0,0.00
1746686668760,60414088,59408888,0,0.00
1746686669764,31146496,71806512,0,0.00
1746686670761,383491072,75645624,0,0.00
1746686671775,612721152,78435640,22219,21912.23
1746686672764,672137216,80644480,18539,18745.20
1746686673762,888668160,81783552,27539,27594.19
1746686674761,1413069312,82259568,47054,47101.10
1746686675774,973106072,82473080,56302,55579.47
1746686676772,2091936664,82549920,56282,56394.79
1746686677762,1626947840,80879232,52760,53292.93
1746686678767,1191819776,81019696,56229,55949.25
1746686679772,697416192,81372088,52782,52519.40
1746686680767,1812052480,81438000,55096,55372.86
1746686681767,1438235136,81448488,60788,60788.00
1746686682767,1032960512,81528936,56216,56216.00
1746686683766,2143402496,81593896,57497,57554.55
1746686684766,1664727552,81665264,52741,52741.00
1746686685767,1283045888,81668080,58557,58498.50
1746686686766,862042624,81732944,56240,56296.30
1746686687767,1999747584,81732944,58843,58784.22
1746686688765,1585560064,81735120,54806,54915.83
1746686689763,1121040896,81797760,53953,54061.12
1746686690768,686406144,81797760,57382,57096.52
1746686691763,1836694016,81818048,59714,60014.07
1746686692765,1424079360,81832000,56273,56160.68
1746686693760,1013037568,81835200,59149,59446.23
1746686694761,2092022272,81859104,54558,54503.50
1746686695767,1635216896,81879752,54340,54015.90
1746686696775,1248858624,81894728,58284,57821.43
1746686697762,790635520,81897616,56284,57025.33
1746686698765,1951409152,81900048,58580,58404.79
1746686699766,1491617280,81973488,53987,53933.07
1746686700768,1030877696,81978456,56215,56102.79
1746686701761,2148659712,81996888,56307,56703.93
1746686702767,1749683200,82035672,58540,58190.85
1746686703769,1375870464,82070000,59652,59532.93
1746686704767,912924160,82084744,53969,54077.15
1746686705768,2052726272,82086152,58523,58464.54
1746686706768,1655840256,82087688,57422,57422.00
1746686707765,1215967232,82087688,57472,57644.93
1746686708764,738873856,82091400,55193,55248.25
1746686709763,1875530240,82733768,56229,56285.29
1746686710762,1409971200,82756424,55096,55151.15
1746686711776,1031448064,82180880,59763,58937.87
1746686712761,2149230080,82195856,55133,55972.59
1746686713773,1793762816,82203128,62013,61277.67
1746686714772,1299367936,82212344,53933,53986.99
1746686715768,836945920,82218744,52884,53096.39
1746686716767,1974650880,82219512,59682,59741.74
1746686717765,1543686144,82227952,55076,55186.37
1746686718768,1145233920,82234992,58837,58661.02
1746686719766,2185421312,82275576,52512,52617.23
1746686720771,1671094784,82319608,49386,49140.30
1746686721767,1261116416,82338424,58840,59076.31
1746686722766,865283584,82338424,59471,59530.53
1746686723764,1998794240,82343544,58567,58684.37
1746686724763,1601912832,82347128,56203,56259.26
1746686725763,1004224512,82347128,48168,48168.00
1746686726764,2077966336,82347128,55063,55007.99
1746686727763,1628129792,82347128,56224,56280.28
