timestamp,heapMemoryUsed,nonHeapMemoryUsed,recordsProcessed,throughput
1746701456607,19922944,14424296,0,0.00
1746701457614,49046136,27319104,0,0.00
1746701458618,55165072,37051384,0,0.00
1746701459610,23079536,51245456,0,0.00
1746701460617,85994096,70904320,0,0.00
1746701461605,46378000,86312936,0,0.00
1746701462607,224764416,93931472,0,0.00
1746701463621,497025024,98802280,690,680.47
1746701464609,751515136,100680168,2442,2471.66
1746701465608,1006759952,105480008,2397,2399.40
1746701466610,1078553648,111343168,2713,2707.58
1746701467609,1836674096,118095584,2304,2306.31
1746701468606,1153119744,123960704,2201,2207.62
1746701469610,1189525504,121940496,2328,2318.73
1746701470609,1124513792,122050536,2423,2425.43
1746701471607,1123989504,122581760,2455,2459.92
1746701472608,808892416,122619264,2324,2321.68
1746701473609,603371520,122066864,2450,2447.55
1746701474714,603895808,122092592,2859,2587.33
1746701475606,2082387968,122290008,2254,2526.91
1746701476605,1782495232,122355248,2047,2049.05
1746701477605,1470019584,121823024,2491,2491.00
1746701478607,873379840,121277976,1667,1663.67
1746701479607,688306176,121315120,2552,2552.00
1746701480695,611760128,121401608,2747,2524.82
1746701481606,2220275712,121486056,2545,2793.63
1746701482608,1962326016,121493000,2415,2410.18
1746701483605,1522079744,121494664,1951,1956.87
1746701484613,894507008,121526216,1540,1527.78
1746701485619,2325813248,121531672,1862,1850.89
1746701486616,2040939520,121539688,2285,2291.88
1746701487607,1362708480,121556176,1671,1686.18
